StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q2.1,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.2_5,Q3.2_6,Q3.3,Q3.4,Q3.5_First Click,Q3.5_Last Click,Q3.5_Page Submit,Q3.5_Click Count,Q3.6,Q4.2_1,Q4.2_2,Q4.2_3,Q4.2_4,Q4.2_5,Q4.2_6,Q4.3,Q4.4,Q4.5_First Click,Q4.5_Last Click,Q4.5_Page Submit,Q4.5_Click Count,Q3.6,Q5.2_1,Q5.2_2,Q5.2_3,Q5.2_4,Q5.2_5,Q5.2_6,Q5.3,Q5.4,Q5.5_First Click,Q5.5_Last Click,Q5.5_Page Submit,Q5.5_Click Count,Q3.6,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q6.2_5,Q6.2_6,Q6.3,Q6.4,Q6.5_First Click,Q6.5_Last Click,Q6.5_Page Submit,Q6.5_Click Count,Q3.6,Q7.2_1,Q7.2_2,Q7.2_3,Q7.2_4,Q7.2_5,Q7.2_6,Q7.3,Q7.4,Q7.5_First Click,Q7.5_Last Click,Q7.5_Page Submit,Q7.5_Click Count,Q3.6,Q8.2_1,Q8.2_2,Q8.2_3,Q8.2_4,Q8.2_5,Q8.2_6,Q8.3,Q8.4,Q8.5_First Click,Q8.5_Last Click,Q8.5_Page Submit,Q8.5_Click Count,Q3.6,Q9.2_1,Q9.2_2,Q9.2_3,Q9.2_4,Q9.2_5,Q9.2_6,Q9.3,Q9.4,Q9.5_First Click,Q9.5_Last Click,Q9.5_Page Submit,Q9.5_Click Count,Q3.6,texts_evaluated,T1,T2,T3,T4,T5,T6,T7,T8,T9,Q_AmbiguousTextPresent,Q_AmbiguousTextQuestions,Q_StraightliningCount,Q_StraightliningPercentage,Q_StraightliningQuestions,Q_UnansweredPercentage,Q_UnansweredQuestions
2024-05-23 13:35:50,2024-05-23 13:47:47,0,62.159.107.212,100,717,1,2024-05-23 13:47:48,R_87lJaEG9vxtRCZ5,,,,,48.1663,11.5683,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,1,1,2,3,"Some fluff but acceptable, might be great depending on placement",17.783,70.319,75.639,10,,,,,,,,,,,,,,,1,1,1,1,1,5,1,Great way to make a recipe,22.526,76.045,79.18,13,,1,2,2,3,1,5,2,The text is aimed at professionals and includes relevant USPs. I would say it is almost fluff-free,27.785,143.653,152.958,10,,,,,,,,,,,,0,,0,0,,0,
2024-05-23 14:27:37,2024-05-23 14:49:20,0,145.5.180.12,100,1302,1,2024-05-23 14:49:21,R_24C5C8sQBazG0He,,,,,51.9148,4.5125,anonymous,EN,1,1,,,,,,,,,,,,,,2,1,3,1,2,1,2,quite long but everything seems relevant,75.066,120.739,135.553,8,,5,4,2,1,1,4,5,"Many things are repeated and many sentences that could have been left out such as ""Come and discover our wide range of clothing and apparel from the most famous fashion brands, to meet the needs of all your customers who are more attentive to their outfit""",88.162,232.832,235.523,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,
2024-05-23 19:45:30,2024-05-23 20:25:12,0,217.76.25.147,100,2382,1,2024-05-23 20:25:13,R_2GeRSvLXTX8vAJM,,,,,51.482,5.6641,anonymous,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,3,2,2,4,The text contains a lot of generic phrases that do not differentiate the company and don't add any information,78.501,309.428,325.544,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,
2024-05-23 20:25:10,2024-05-23 20:44:01,0,217.76.25.147,100,1131,1,2024-05-23 20:44:01,R_85Rh7epGiTObD5D,,,,,51.482,5.6641,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,1,1,4,3,Some information is irrelevant,11.972,180.629,259.351,14,,,,,,,,,,,,,,,4,4,4,5,2,4,3,"A lot of repitition ",123.885,343.644,350.375,10,,1,1,1,3,1,5,1,straight to the point,25.736,64.009,70.854,11,,,,,,,,,,,,0,,0,0,,0,
2024-05-23 22:57:08,2024-05-23 23:04:10,0,188.89.65.73,100,421,1,2024-05-23 23:04:10,R_8fGYQ086rl01dPl,,,,,51.9179,4.4901,anonymous,EN,0.800000011920929,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,
2024-05-21 20:29:04,2024-05-21 20:29:28,0,95.98.18.120,36,23,0,2024-05-28 20:29:30,R_8yC0KefDkTGTQK5,,,,,,,anonymous,EN,0.699999988079071,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,
2024-05-21 18:33:38,2024-05-21 23:50:06,0,85.233.56.73,41,18987,0,2024-05-28 23:50:07,R_81dpuGHzLZOSPNq,,,,,,,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0.1,QID131
2024-05-23 15:31:01,2024-05-23 15:37:47,0,104.28.30.78,95,405,0,2024-05-30 15:37:50,R_8JcEouMej66EJMd,,,,,,,anonymous,EN,0.8999999761581421,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,2,2,2,4,Repetitive and information is hard to find,2.345,364.461,398.6,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,
2024-05-23 19:36:23,2024-05-23 19:36:33,0,104.28.30.79,93,8,0,2024-05-30 19:36:33,R_2rHzI2NHCSnN73V,,,,,,,anonymous,EN,0.8999999761581421,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,
2024-06-05 19:38:05,2024-06-05 19:38:14,1,,100,8,1,2024-06-05 19:38:14,R_2HhUUjGdKzKjY64,,,,,51.9148,4.5125,preview,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,
2024-06-05 19:38:20,2024-06-05 19:39:10,1,,100,50,1,2024-06-05 19:39:11,R_2LZbaXwAFTJsLyV,,,,,51.9148,4.5125,preview,EN,1,1,,,,,,,2,,1.944,1.944,2.892,1,,,,,,,,4,,2.115,2.115,3.601,1,,,,,,,,3,,1.681,3.276,4.793,2,2,,,,,,,,,4.43,7.071,8.793,3,2,,,,,,,4,,1.939,1.939,3.347,1,,,,,,,,4,,3.388,3.388,4.735,1,,,,,,,,3,,2.38,2.38,4.001,1,,5,1,1,1,1,1,1,1,0,0,,,,,,,
2024-06-05 19:46:42,2024-06-05 19:47:30,1,,100,48,1,2024-06-05 19:47:31,R_2QQlcYk1XENi4JL,,,,,51.9148,4.5125,preview,EN,1,1,,,,,,,2,,2.372,12.089,13.89,2,2,,,,,,,4,,2.999,5.265,6.59,2,1,,,,,,,,,,,,,,,,,,,,4,,1.811,1.811,3.449,1,,,,,,,,3,,1.747,1.747,3.843,1,,,,,,,,,,,,,,,,,,,,,3,,3.451,3.451,6.035,1,,5,1,1,0,1,1,0,1,0,0,,,,,,,
